nom;preu;quantitat;actiu;categories;proveidor;visibilitat
LA GRANA (granel) - Farina blanca 400 gr.;0,35;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Farina integral 400 gr.;0,30;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Farina Integral espelta 400 gr.;0,75;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Muesli 1 kg;4,80;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Müesli mel 1 kg;4,05;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Sucre Integral de canya 1 kg;3,50;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Sucre Integral de canya 600 gr.;1,55;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Sucre Demerara integral 550 gr.;1,00;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Cigrons 300;0,80;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Cigrons 500;1,30;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Quinoa 350;1,50;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Quinoa 500;2,30;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Quinoa 600;2,75;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Quinoa 1 kg;4,60;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Cous cous integral 1 kg;2,15;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Llenties 500 gr.;1,75;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Nous 250 Gr;5,00;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Nous 150 Gr;3,00;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Avellanes 250 gr.;3,50;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Ametlles 250 gr.;2,15;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Sal marina fina 600 gr.;1,05;999999999;1;Stock,La Grana;Stock;SEARCH
LA GRANA (granel) - Sal Castro MARIM 1 Kg.;1,75;999999999;1;Stock,La Grana;Stock;SEARCH
CAL VALLS - Olives Picual 175 gr.;1,75;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Oliva Arbequina 400gr.;2,20;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Oliva Manzanilla verda 200gr.;1,50;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Oliva negra 200 gr.;1,62;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Olives negres mortes 200 gr.;1,85;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Tomàquet sencer Pelat 660 gr.;1,73;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Tomàquet Pelat condimentat 660 gr.;1,70;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Tomàquet Triturat 670 gr.;1,35;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Sofregit de tomàquet 350 gr.;1,50;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Sofregit picant 350 gr.;1,50;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Sofregit amb xampinyons 350 gr.;1,73;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Pebrot piquillo 250 gr.;3,20;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Espàrreg blanc;4,97;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Espàrreg verd;4,45;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Blat de moro (demeter) 220 gr;1,60;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Cigrons cuits 220gr.;1,16;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Cigrons cuits 450gr;2,08;999999999;1;Stock,Cal Valls;Stock;SEARCH
CAL VALLS - Fesols vermells cuits 240gr;1,33;999999999;1;Stock,Cal Valls;Stock;SEARCH
