Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Te verd - ;2,10;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/te_verd.jpg
Te verd desteïnat - ;3,15;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/te_verd_desteinat.jpg
Te verd clipper - ;1,06;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/te_verd_clipper.jpg
Cacao soluble - 400 gr.;3,56;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/cacao soluble.jpg
Crema de xocolata - 400 gr.;2,82;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/crema xocolata.jpg
Crema de cacau i avellanes MAGICAO - 250 gr.;3,00;999999999;1;Stock,Comerç Just;Comerç Just;http://botiga-teixitdelaterra.rhcloud.com/imatges/crema cacao avellanes.jpg
Cervesa Montseny lupulus - 330 ml;1,52;999999999;1;Stock,Cervesa;Cervesa;http://botiga-teixitdelaterra.rhcloud.com/imatges/cervesa montseny lupulus.jpg
Dermogel  - 1 L;2,95;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/dermogel_1l.jpg
Dermogel  - 5 L;13,65;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/dermogel_5l.jpg
Rentaplats a ma - 5 L;6,25;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/rentaplats_a_ma.jpg
Desengreixant - 1 L;3,50;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/desengreixant.jpg
Detergent pel terra - 5 L;6,40;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/detergent_terra.jpg
Ecobola Irisana - 1u;25,12;999999999;1;Stock,Sabo;Sabo;http://botiga-teixitdelaterra.rhcloud.com/imatges/ecobola_irisana.jpg
;;;;;;
