Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
"Carbassa [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabassa_cacahuet.jpg
"Carxofa [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carxofa.jpg
"Mongeta seca del carai [1/2 Kg]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mongeta_carai.jpg
"Poma golden [1/2 Kg]";0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/poma-golden.jpg
"Remolatxa [1 manat]";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/remolatxa.jpg
