Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor
Pressec pla;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda
Nectarina;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda
