Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
Api-rave;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/api_rave.jpg
"Pèsol de la floreta";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pesol.jpg
Estirabec;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/estirabec.jpg
"Cigró menut";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/cigro_menut.jpg
"Mongeta seca del carai";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mongeta_carai.jpg
Coliflor;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col_i_flor.jpg
Bròculi;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/brocoli.jpg
"Bròquil Sta. Teresa";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/broquil_sta_teresa.jpg
"Bròquil verd";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/broquil_verd.jpg
Carxofa;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carxofa.jpg
Fava;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/faves.jpg
"Fava tendra";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/fava_tendra.jpg
Alfàbrega;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alfabrega.jpg
Menta;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/menta.jpg
Síndria;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/sindria.jpg
"All tendre";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/alls-tendres.jpg
"Meló de Nadal";0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/melo_dhivern.jpg
Mesclum;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mesclum.jpg
Ravenet;0;999999999;1;"La Catxaruda,Verdura";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/rabes.jpg
Taronja;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/taronja.jpg
Mandarina;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mandarina.jpg
Poma;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/poma-golden.jpg
Pera;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pera.jpg
Cirera;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/cirera_garrofal_de_Martorelles.jpg
Paraguaio;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/paraguaio.jpg
Préssec;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pressec.jpg
Plàtan;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/platan-canari.jpg
Magrana;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/magrana.jpg
Pruna;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/prunes.jpg
Llimona;0;999999999;1;"La Catxaruda,Fruita";"La Catxaruda";http://botiga-teixitdelaterra.rhcloud.com/imatges/llimona.jpg
