Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity;Default (0 = No, 1 = Yes)
583;Unitats:select:0, Pes:select:1;11:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;12:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;13:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;14:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;15:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;16:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;17:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;18:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;19:0, -:1;999999999;1;0
583;Unitats:select:0, Pes:select:1;20:0, -:1;999999999;1;0
