Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity;Default (0 = No, 1 = Yes)
67;Unitats:select:0, Pes:select:1;-:0, 3 KG:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;-:0, 4 KG:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;-:0, 5 KG:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;6:0, -:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;7:0, -:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;8:0, -:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;9:0, -:1;999999999;1;0
67;Unitats:select:0, Pes:select:1;10:0, -:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;-:0, 3 KG:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;-:0, 4 KG:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;-:0, 5 KG:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;6:0, -:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;7:0, -:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;8:0, -:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;9:0, -:1;999999999;1;0
68;Unitats:select:0, Pes:select:1;10:0, -:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;-:0, 3 KG:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;-:0, 4 KG:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;-:0, 5 KG:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;6:0, -:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;7:0, -:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;8:0, -:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;9:0, -:1;999999999;1;0
69;Unitats:select:0, Pes:select:1;10:0, -:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;-:0, 3 KG:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;-:0, 4 KG:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;-:0, 5 KG:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;6:0, -:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;7:0, -:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;8:0, -:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;9:0, -:1;999999999;1;0
70;Unitats:select:0, Pes:select:1;10:0, -:1;999999999;1;0
