Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Negre collita pròpia - ECO - 75 cl.;3,39;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/vi negre.jpg
Blanc collita pròpia - ECO - 75 cl.;3,39;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/vi blanc.jpg
Vinagre - ECO - 75 cl.;2,2;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/vinagre.jpg
Llavor Girasol Pelada - 150 gr;1,42;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/llavor girasol pelada.jpg
Llavor Girasol Salada - 150 gr;1,22;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/llavor girasol salada.jpg
Nou País Pelada - 150 gr;3,58;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/nous pais pelades.jpg
Pinyó - 150 gr;12,22;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/pinyons.jpg
Patates Casolanes - 150 gr;1,61;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/patates.jpg
Ametlla Crua - 200 gr.;3,71;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/ametlla crua.jpg
Ametlla Llargueta Torrada - 200 gr.;4,63;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/ametlla llargueta torrada.jpg
Ametlla Marcona - 200 gr.;4,42;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/ametlla marcona.jpg
Avellana Crua Pelada - 200 gr.;3,88;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/ametlla crua pelada.jpg
Avellana Negreta Torrada - 200 gr.;4,88;999999999;1;Lactics,La Cleda;La Cleda;http://botiga-teixitdelaterra.rhcloud.com/imatges/avellana negreta torrada.jpg
