Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge
Carabasso;0;999999999;1;La Feixa Verda,Verdura;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/carabasso.jpeg
Cogombre;0;999999999;1;La Feixa Verda,Verdura;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/cogombre.jpeg
Tomaquet;0;999999999;1;La Feixa Verda,Verdura;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/tomaquet.jpg
Nespres;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda;http://botiga-teixitdelaterra.rhcloud.com/imatges/nespres.jpg
