Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor
Melo;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda
Sindria;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda
Prunes;0;999999999;1;La Feixa Verda,Fruita;La Feixa Verda
